industria_clean,sugerencia_top,score_top,cand_1,score_1,cand_2,score_2,cand_3,score_3,cand_4,score_4,cand_5,score_5
abogacia,,,Banca,46.15384615384615,Marketing y Publicidad,33.33333333333333,Servicios Públicos,30.769230769230774,Telecomunicaciones,30.769230769230774,Venta al por Mayor,30.769230769230774
acabados de productos textiles,,,Productos Farmacéuticos,49.056603773584904,Consultoría de Gestión,46.15384615384615,Banca de Inversión,41.666666666666664,Servicios y Tecnologías de la Información,39.436619718309856,Logística y Cadena de Suministro,38.70967741935484
accounting,,,Telecomunicaciones,42.857142857142854,Productos Farmacéuticos,36.36363636363637,Banca de Inversión,35.71428571428571,Consultoría de Gestión,31.25,Marketing y Publicidad,31.25
acero,,,Reaseguros,53.333333333333336,Seguros,50.0,Educación Superior,43.47826086956522,Petróleo y Gas,42.10526315789474,Banca,40.0
actividades de hospitales y clinicas con internacion,,,Hospitales y Atención Sanitaria,53.01204819277108,Logística y Cadena de Suministro,50.0,Servicios y Tecnologías de la Información,45.16129032258065,Servicios Profesionales,40.0,"Sanidad, Bienestar y Ejercicio",39.02439024390244
actividades relacionadas con la intermediacion de credito,,,Servicios y Tecnologías de la Información,46.93877551020408,"Sanidad, Bienestar y Ejercicio",39.08045977011494,Logística y Cadena de Suministro,38.20224719101124,Hospitales y Atención Sanitaria,34.09090909090909,Consultoría de Gestión,32.911392405063296
acuerdos de capital de riesgo y capital de inversion,,,Banca de Inversión,50.0,Logística y Cadena de Suministro,48.57142857142857,Hospitales y Atención Sanitaria,46.3768115942029,Servicios Profesionales,42.622950819672134,Servicios y Tecnologías de la Información,40.50632911392405
ad agencies & ad sales/service,,,Servicios Profesionales,44.0,Hospitales y Atención Sanitaria,41.37931034482759,Banca de Inversión,35.55555555555556,Educación Superior,35.55555555555556,Servicios Públicos,35.55555555555556
administracion,,,Telecomunicaciones,50.0,Venta Minorista,48.275862068965516,Logística y Cadena de Suministro,43.47826086956522,"Sanidad, Bienestar y Ejercicio",40.90909090909091,Consultoría de Gestión,38.888888888888886
administracion de justicia,,,Consultoría de Gestión,50.0,Venta Minorista,48.78048780487805,Logística y Cadena de Suministro,48.275862068965516,Telecomunicaciones,45.45454545454545,Servicios y Tecnologías de la Información,41.791044776119406
